video,split
AD128.avi,train
AD146.avi,train
AD151.avi,train
AD162.avi,train
AD169.avi,train
AD175.avi,train
AD217.avi,train
AD228.avi,train
AD235.avi,train
AD238.avi,train
AD243.avi,train
AD256.avi,train
AD276.avi,train
AD290.avi,train
AD294.avi,train
AD317A.avi,train
AD317B.avi,train
AD334.avi,train
AD378.avi,train
AD388.avi,train
AD389.avi,train
AD394.avi,train
AD424.avi,train
AD435A.avi,train
AD435B.avi,train
AD451.avi,train
AD458.avi,train
AD459A.avi,train
AD459B.avi,train
AD496.avi,train
AD498.avi,train
AD503.avi,val
AD530.avi,val
AD534.avi,val
AD541.avi,val
AD543.avi,val
AD547.avi,val
AD605.avi,val
AD646.avi,val

